rel_path,comparison_class,raw_match,normalized_match,verdict,differing_columns
fundamentals/attempt_1/valuation_cycle_latest.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
fundamentals/attempt_1/watchlist_candidates.csv,CONTENT,True,True,IDENTICAL,[]
insight/attempt_1/event_confluence.csv,CONTENT,True,True,IDENTICAL,[]
insight/attempt_1/event_features.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/active_watchlist.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/archived_investigator.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/daily_gainer_log.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/final_3q_gate.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/investigator_early_accumulation.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/investigator_pattern_scan.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/investigator_performance_summary.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/investigator_scores.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/position_risk_monitor.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/repeat_tracker.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/routed_investigator_scores.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/routed_pattern_scan.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/routed_routing_conflicts.csv,CONTENT,True,True,IDENTICAL,[]
investigator/attempt_1/stage1_current_state.csv,STRICT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/stage1_invalidations.csv,STRICT,True,True,IDENTICAL,[]
investigator/attempt_1/stage1_regressions.csv,STRICT,True,True,IDENTICAL,[]
investigator/attempt_1/stage1_stale_candidates.csv,STRICT,True,True,IDENTICAL,[]
investigator/attempt_1/stage1_transitions.csv,STRICT,True,True,IDENTICAL,[]
investigator/attempt_1/stage1_watchlist.csv,STRICT,False,True,CONTENT_EQUIVALENT,[]
investigator/attempt_1/trap_log.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
opportunities/attempt_1/adapter_rejections.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/adapter_warnings.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
opportunities/attempt_1/candidate_admissions.csv,STRICT,True,True,IDENTICAL,[]
opportunities/attempt_1/candidate_closures.csv,STRICT,True,True,IDENTICAL,[]
opportunities/attempt_1/candidate_reconciliation.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/candidate_supersessions.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/candidate_transitions.csv,STRICT,True,True,IDENTICAL,[]
opportunities/attempt_1/candidate_updates.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/current_candidate_state.csv,STRICT,True,True,IDENTICAL,[]
opportunities/attempt_1/position_episode_compatibility.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/position_monitor_reconciliation.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/position_recovery_actions.csv,CONTENT,True,True,IDENTICAL,[]
opportunities/attempt_1/position_recovery_proposals.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
opportunities/attempt_1/registry_conflicts.csv,CONTENT,True,True,IDENTICAL,[]
perf_tracker/attempt_1/perf_tracker_excluded_rows.csv,TELEMETRY,True,True,IDENTICAL,[]
perf_tracker/attempt_1/perf_tracker_rank_bucket_performance.csv,TELEMETRY,True,True,IDENTICAL,[]
perf_tracker/attempt_1/perf_tracker_repeated_symbol_performance.csv,TELEMETRY,True,True,IDENTICAL,[]
perf_tracker/attempt_1/perf_tracker_sector_performance.csv,TELEMETRY,True,True,IDENTICAL,[]
performance/attempt_1/phase3c4_artifact_metrics.csv,TELEMETRY,False,True,TELEMETRY,[]
performance/attempt_1/phase3c4_database_metrics.csv,TELEMETRY,False,True,TELEMETRY,[]
performance/attempt_1/phase3c4_performance_metrics.csv,TELEMETRY,False,True,TELEMETRY,[]
publish/attempt_1/watchlist_buckets.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/accumulation_distribution.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/breakout_scan.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/early_accumulation_scan.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/industry_rotation.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/industry_rotation_history.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/pattern_scan.csv,STRICT,True,True,IDENTICAL,[]
rank/attempt_1/ranked_signals.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
rank/attempt_1/ranked_universe.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
rank/attempt_1/rotation_indices.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/sector_custom_indices.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/sector_dashboard.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/sector_dashboard_enriched.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/sector_rotation.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/sector_rotation_history.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/stage1_scan.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/stock_rotation.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/stock_scan.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
rank/attempt_1/volume_shockers.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/watchlist_candidates.csv,CONTENT,True,True,IDENTICAL,[]
rank/attempt_1/watchlist_prefilter.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
rank/attempt_1/watchlist_rejections.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
scan_router/attempt_1/active_position_coverage.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
scan_router/attempt_1/active_position_missing_data.csv,CONTENT,True,True,IDENTICAL,[]
scan_router/attempt_1/deep_scan_universe.csv,CONTENT,False,False,DATA_DIFF,"[""selection_details""]"
scan_router/attempt_1/position_monitor_reconciliation.csv,CONTENT,False,True,CONTENT_EQUIVALENT,[]
scan_router/attempt_1/position_monitor_universe.csv,CONTENT,False,False,DATA_DIFF,"[""selection_details""]"
scan_router/attempt_1/routing_conflicts.csv,CONTENT,True,True,IDENTICAL,[]
scan_router/attempt_1/scan_routing.csv,CONTENT,False,False,DATA_DIFF,"[""selection_details""]"
scan_router/attempt_1/stage_discovery_candidates.csv,STRICT,True,True,IDENTICAL,[]
weekly_stage/attempt_1/light_pattern_scan.csv,CONTENT,True,True,IDENTICAL,[]
weekly_stage/attempt_1/stage_promotion_candidates.csv,CONTENT,True,True,IDENTICAL,[]
weekly_stage/attempt_1/weekly_sector_stage_universe.csv,CONTENT,True,True,IDENTICAL,[]
weekly_stage/attempt_1/weekly_stage_exclusions.csv,CONTENT,True,True,IDENTICAL,[]
weekly_stage/attempt_1/weekly_stock_stage_universe.csv,CONTENT,True,True,IDENTICAL,[]
